WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
0506,5,6,JUNE,6,29
0510,5,10,SEPTEMBER,9,"27,28"
0716,7,16,MAY,5,"14,15"
0813,8,13,MAY,5,"4,7"
0807,8,7,JULY,7,"25,26"
0702,7,2,MAY,5,"18,21"
0607,6,7,APRIL,4,"18,19"
0709,7,9,OCTOBER,10,"25,26"
0901,9,1,JULY,7,31
0815,8,15,MAY,5,"10,11"
0703,7,3,JULY,7,"9,10"
0203,2,3,JULY,7,"17,18"
0313,3,13,SEPTEMBER,9,"18,19"
0603,6,3,APRIL,4,"6,9"
0805,8,5,SEPTEMBER,9,"6,7"
0921,9,21,SEPTEMBER,9,"26,27"
0312,3,12,AUGUST,8,"1,2"
0406,4,6,APRIL,4,"16,17"
0205,2,5,JUNE,6,"12,13"
0102,1,2,AUGUST,8,"2,3"
0905,9,5,APRIL,4,"12,13"
0708,7,8,OCTOBER,10,"23,24"
0911,9,11,APRIL,4,30
0102,1,2,NOVEMBER,11,"1,2"
0601,6,1,SEPTEMBER,9,"10,11"
0902,9,2,APRIL,4,"4,5"
0610,6,10,APRIL,4,"26,27"
0613,6,13,OCTOBER,10,"15,16"
0308,3,8,APRIL,4,"23,24"
0809,8,9,JUNE,6,"12,13"
0311,3,11,SEPTEMBER,9,"12,13"
0501,5,1,JULY,7,"25,26"
0414,4,14,SEPTEMBER,9,"19,20"
0306,3,6,MAY,5,31
0710,7,10,APRIL,4,"26,27"
0206,2,6,NOVEMBER,11,"6,7"
0706,7,6,AUGUST,8,"30,31"
0103,1,3,APRIL,4,"10,11"
0808,8,8,JULY,7,"27,30"
0407,4,7,AUGUST,8,"28,29"
0608,6,8,APRIL,4,"20,23"
0602,6,2,SEPTEMBER,9,"12,13"
0611,6,11,APRIL,4,30
0404,4,4,MAY,5,"22,23"
0205,2,5,NOVEMBER,11,"2,3"
0712,7,12,AUGUST,8,"2,3"
0410,4,10,OCTOBER,10,"23,24"
0405,4,5,JULY,7,"11,12"
0109,1,9,JUNE,6,"4,11"
0201,2,1,JUNE,6,"1,20,21"
0809,8,9,SEPTEMBER,9,"18,19"
0513,5,13,JUNE,6,"13,14"
0903,9,3,APRIL,4,"6,9"
0415,4,15,MAY,5,"10,11"
0910,9,10,AUGUST,8,"24,27"
0108,1,8,OCTOBER,10,"25,26"
0415,4,15,NOVEMBER,11,"6,7"
0808,8,8,APRIL,4,"20,23"
0306,3,6,JUNE,6,1
0608,6,8,NOVEMBER,11,"8,9"
0208,2,8,MAY,5,"1,2,8,9,15,16,22,23,29,30"
0104,1,4,APRIL,4,"12,13"
0707,7,7,APRIL,4,"18,19"
0904,9,4,AUGUST,8,"8,9"
0802,8,2,JULY,7,"11,12"
0504,5,4,JUNE,6,"25,26"
0409,4,9,APRIL,4,"24,25"
0106,1,6,MAY,5,"17,18"
0511,5,11,JUNE,6,"7,8"
0304,3,4,MAY,5,"23,24"
0101,1,1,SEPTEMBER,9,"4,5"
0905,9,5,JUNE,6,"12,13"
0510,5,10,JUNE,6,"5,6"
0508,5,8,SEPTEMBER,9,"21,24"
0105,1,5,JUNE,6,"19,20"
0603,6,3,SEPTEMBER,9,"14,17"
0702,7,2,JULY,7,"5,6"
0204,2,4,OCTOBER,10,"11,12,30"
0901,9,1,OCTOBER,10,1
0612,6,12,MAY,5,"2,3"
0702,7,2,OCTOBER,10,"4,5"
0101,1,1,APRIL,4,"3,4"
0909,9,9,OCTOBER,10,"23,24"
0207,2,7,JUNE,6,"5,6,12,13,19,20,26,27"
0404,4,4,JULY,7,"9,10"
0813,8,13,OCTOBER,10,1
0511,5,11,OCTOBER,10,"1,2"
0502,5,2,APRIL,4,"4,5"
0108,1,8,AUGUST,8,"23,24"
0110,1,10,JUNE,6,"18,25"
0504,5,4,SEPTEMBER,9,"11,12"
0512,5,12,JULY,7,"19,20"
0803,8,3,AUGUST,8,"30,31"
0506,5,6,MAY,5,"22,23"
0705,7,5,MAY,5,"29,30"
0109,1,9,JULY,7,"2,9"
0812,8,12,JUNE,6,"20,21"
0915,9,15,SEPTEMBER,9,"10,11"
0101,1,1,MAY,5,"1,2"
0410,4,10,APRIL,4,"26,27"
0309,3,9,APRIL,4,"25,26"
0303,3,3,AUGUST,8,"17,20"
0904,9,4,APRIL,4,"10,11"
0814,8,14,AUGUST,8,"14,15"
0106,1,6,APRIL,4,"19,20"
0805,8,5,APRIL,4,"12,13"
0203,2,3,MAY,5,"16,17"
0601,6,1,AUGUST,8,1
0907,9,7,OCTOBER,10,"17,18"
0408,4,8,OCTOBER,10,"17,18"
0916,9,16,MAY,5,"14,15"
0920,9,20,SEPTEMBER,9,"24,25"
0508,5,8,OCTOBER,10,31
0403,4,3,MAY,5,"18,21"
0614,6,14,JULY,7,"27,30"
0205,2,5,JULY,7,"2,3,23,24"
0913,9,13,MAY,5,"4,7"
0711,7,11,JUNE,6,"14,15"
0102,1,2,MAY,5,"3,4"
0302,3,2,JULY,7,"2,3"
0301,3,1,MAY,5,"15,16"
0804,8,4,OCTOBER,10,"23,24"
0413,4,13,OCTOBER,10,31
0304,3,4,AUGUST,8,"21,22"
0920,9,20,MAY,5,"24,25"
0106,1,6,JUNE,6,"15,21"
0911,9,11,AUGUST,8,"28,29"
0706,7,6,APRIL,4,"16,17"
0406,4,6,OCTOBER,10,"11,12"
0315,3,15,SEPTEMBER,9,"24,25"
0401,4,1,JUNE,6,"27,28"
0921,9,21,MAY,5,"29,30"
0908,9,8,APRIL,4,"20,23"
0511,5,11,APRIL,4,30
0814,8,14,MAY,5,"8,9"
0916,9,16,JULY,7,"13,16"
0108,1,8,JUNE,6,"22,28"
0402,4,2,NOVEMBER,11,"12,13"
0603,6,3,JUNE,6,"26,27"
0811,8,11,APRIL,4,30
0715,7,15,JUNE,6,"26,27"
0405,4,5,MAY,5,"24,25"
0310,3,10,APRIL,4,"27,30"
0105,1,5,OCTOBER,10,"16,17"
0918,9,18,NOVEMBER,11,16
0508,5,8,AUGUST,8,"14,15"
0706,7,6,JUNE,6,1
0509,5,9,APRIL,4,"24,25"
0203,2,3,SEPTEMBER,9,"14,17"
0712,7,12,JUNE,6,"18,19"
0905,9,5,AUGUST,8,"10,13"
0713,7,13,SEPTEMBER,9,"20,21"
0111,1,11,JUNE,6,29
0605,6,5,APRIL,4,"12,13"
0401,4,1,APRIL,4,"2,3"
0513,5,13,OCTOBER,10,"5,10"
0815,8,15,AUGUST,8,"16,17"
0802,8,2,APRIL,4,"4,5"
0111,1,11,AUGUST,8,"29,30"
0511,5,11,AUGUST,8,"22,23"
0705,7,5,AUGUST,8,"28,29"
0309,3,9,JUNE,6,"8,11"
0917,9,17,SEPTEMBER,9,"14,17"
0802,8,2,MAY,5,"22,23"
0504,5,4,NOVEMBER,11,"14,15"
0704,7,4,MAY,5,"24,25"
0302,3,2,APRIL,4,"5,6"
0207,2,7,SEPTEMBER,9,"4,5,11,12,18,19,26,27"
0312,3,12,JUNE,6,"18,19"
0203,2,3,OCTOBER,10,"9,10,28,29"
0305,3,5,APRIL,4,"13,16"
0804,8,4,JULY,7,"17,18"
0604,6,4,AUGUST,8,"8,9"
0411,4,11,APRIL,4,30
0816,8,16,AUGUST,8,"20,21"
0812,8,12,SEPTEMBER,9,"26,27"
0502,5,2,MAY,5,"10,11"
0107,1,7,AUGUST,8,"22,28"
0411,4,11,JULY,7,"27,30"
0716,7,16,NOVEMBER,11,"14,15"
0109,1,9,AUGUST,8,"6,13"
0504,5,4,MAY,5,"16,17"
0401,4,1,SEPTEMBER,9,"25,26"
0708,7,8,JUNE,6,"6,7"
0714,7,14,NOVEMBER,11,"8,9"
0512,5,12,JUNE,6,"11,12"
0414,4,14,AUGUST,8,"6,7"
0709,7,9,APRIL,4,"24,25"
0802,8,2,AUGUST,8,"28,29"
0912,9,12,AUGUST,8,"30,31"
0604,6,4,OCTOBER,10,"29,30"
0109,1,9,APRIL,4,"2,9"
0715,7,15,AUGUST,8,"10,13"
0707,7,7,JUNE,6,"4,5"
0609,6,9,OCTOBER,10,"2,3"
0803,8,3,JULY,7,"13,16"
0208,2,8,OCTOBER,10,"2,3,9,10,16,17,23,24,30,31"
0501,5,1,AUGUST,8,"30,31"
0814,8,14,JUNE,6,"26,27"
0202,2,2,AUGUST,8,"2,3,22,23"
0403,4,3,JULY,7,"3,6"
0313,3,13,NOVEMBER,11,"1,2"
0311,3,11,JUNE,6,"14,15"
0401,4,1,AUGUST,8,"10,11"
0606,6,6,SEPTEMBER,9,"24,25"
0503,5,3,OCTOBER,10,"17,18"
0207,2,7,APRIL,4,"3,4,10,11,17,18,24,25"
0206,2,6,JULY,7,"5,6,25,26"
0202,2,2,MAY,5,"14,15"
0920,9,20,JULY,7,"25,26"
0402,4,2,JULY,7,2
0415,4,15,JUNE,6,"25,26"
0202,2,2,JUNE,6,"4,5,22,25"
0709,7,9,JULY,7,"25,26"
0807,8,7,NOVEMBER,11,1
0209,2,9,NOVEMBER,11,"8,9"
0306,3,6,OCTOBER,10,"12,15"
0608,6,8,JULY,7,"11,12"
0101,1,1,NOVEMBER,11,"6,7"
0111,1,11,MAY,5,"30,31"
0106,1,6,JULY,7,"19,20"
0916,9,16,SEPTEMBER,9,"12,13"
0510,5,10,NOVEMBER,11,"6,7"
0204,2,4,NOVEMBER,11,1
0608,6,8,JUNE,6,1
0903,9,3,OCTOBER,10,"4,5"
0612,6,12,JULY,7,"23,24"
0301,3,1,JUNE,6,"28,29"
0205,2,5,OCTOBER,10,"15,16"
0908,9,8,JUNE,6,"20,21"
0605,6,5,MAY,5,"22,23"
0911,9,11,MAY,5,1
0110,1,10,MAY,5,"21,29"
0105,1,5,MAY,5,"15,16"
0305,3,5,MAY,5,"25,30"
0901,9,1,JUNE,6,1
0510,5,10,JULY,7,"13,16"
0807,8,7,APRIL,4,"18,19"
0105,1,5,SEPTEMBER,9,"18,19"
0806,8,6,APRIL,4,"16,17"
0303,3,3,JULY,7,"6,9"
0503,5,3,SEPTEMBER,9,"7,10"
0716,7,16,SEPTEMBER,9,"27,28"
0711,7,11,MAY,5,1
0414,4,14,JUNE,6,"21,22"
0501,5,1,MAY,5,"8,9"
0602,6,2,APRIL,4,"4,5"
0713,7,13,JUNE,6,"20,21"
0705,7,5,APRIL,4,"12,13"
0706,7,6,MAY,5,31
0605,6,5,OCTOBER,10,31
0309,3,9,JULY,7,"24,25"
0807,8,7,SEPTEMBER,9,"12,13"
0901,9,1,APRIL,4,"2,3"
0910,9,10,OCTOBER,10,"25,26"
0305,3,5,JULY,7,"12,13"
0105,1,5,JULY,7,"17,18"
0209,2,9,MAY,5,"8,9,29,30"
0914,9,14,SEPTEMBER,9,"6,7"
0509,5,9,NOVEMBER,11,"2,5"
0610,6,10,AUGUST,8,"24,27"
0109,1,9,SEPTEMBER,9,10
0817,8,17,MAY,5,"16,17"
0907,9,7,APRIL,4,"18,19"
0906,9,6,JUNE,6,"14,15"
0201,2,1,OCTOBER,10,"2,3,23,24"
0110,1,10,APRIL,4,"16,23"
0811,8,11,MAY,5,1
0509,5,9,JUNE,6,"1,4"
0607,6,7,AUGUST,8,"16,17"
0305,3,5,AUGUST,8,"23,24"
0505,5,5,SEPTEMBER,9,"13,14"
0612,6,12,JUNE,6,"12,13"
0711,7,11,AUGUST,8,1
0303,3,3,OCTOBER,10,"2,3"
0507,5,7,SEPTEMBER,9,"19,20"
0506,5,6,JULY,7,2
0714,7,14,SEPTEMBER,9,"24,25"
0404,4,4,OCTOBER,10,"3,4"
0106,1,6,AUGUST,8,"16,17"
0606,6,6,APRIL,4,"16,17"
0409,4,9,OCTOBER,10,"19,22"
0203,2,3,APRIL,4,"6,9,26,27"
0708,7,8,JULY,7,"23,24"
0208,2,8,NOVEMBER,11,"6,7,13,14"
0402,4,2,AUGUST,8,"14,15"
0315,3,15,JUNE,6,"26,27"
0810,8,10,AUGUST,8,"2,3"
0109,1,9,NOVEMBER,11,"5,12"
0911,9,11,JUNE,6,"28,29"
0707,7,7,JULY,7,"19,20"
0401,4,1,NOVEMBER,11,"8,9"
0412,4,12,JULY,7,31
0504,5,4,AUGUST,8,"2,3"
0208,2,8,JULY,7,"3,10,11,17,18,24,25"
0808,8,8,SEPTEMBER,9,"14,17"
0314,3,14,JUNE,6,"22,25"
0302,3,2,NOVEMBER,11,"13,14"
0407,4,7,JULY,7,"17,18"
0614,6,14,MAY,5,"8,9"
0504,5,4,APRIL,4,"10,11"
0105,1,5,AUGUST,8,"15,21"
0206,2,6,OCTOBER,10,"17,18"
0507,5,7,OCTOBER,10,"29,30"
0808,8,8,NOVEMBER,11,"2,5"
0411,4,11,OCTOBER,10,"25,26"
0302,3,2,AUGUST,8,"15,16"
0411,4,11,SEPTEMBER,9,"11,12"
0313,3,13,JUNE,6,"20,21"
0110,1,10,JULY,7,"16,23"
0917,9,17,JULY,7,"17,18"
0614,6,14,OCTOBER,10,"17,18"
0307,3,7,JULY,7,"18,19"
0302,3,2,OCTOBER,10,1
0502,5,2,JUNE,6,"19,20"
0311,3,11,MAY,5,"1,2"
0409,4,9,JUNE,6,"7,8"
0911,9,11,OCTOBER,10,"29,30"
0612,6,12,AUGUST,8,"30,31"
0805,8,5,JULY,7,"19,20"
0104,1,4,MAY,5,"10,11"
0801,8,1,MAY,5,"18,21"
0906,9,6,AUGUST,8,"14,15"
0313,3,13,MAY,5,"7,8"
0307,3,7,OCTOBER,10,"16,17"
0308,3,8,OCTOBER,10,"18,19"
0608,6,8,MAY,5,31
0711,7,11,JULY,7,31
0604,6,4,JUNE,6,"28,29"
0704,7,4,APRIL,4,"10,11"
0607,6,7,NOVEMBER,11,"6,7"
0402,4,2,MAY,5,"16,17"
0505,5,5,JUNE,6,"27,28"
0613,6,13,JUNE,6,"14,15"
0608,6,8,SEPTEMBER,9,28
0301,3,1,NOVEMBER,11,"9,12"
0301,3,1,AUGUST,8,"13,14"
0511,5,11,MAY,5,1
0903,9,3,AUGUST,8,"6,7"
0904,9,4,JUNE,6,"8,11"
0111,1,11,JULY,7,"30,31"
0402,4,2,APRIL,4,"4,5"
0606,6,6,NOVEMBER,11,"2,5"
0310,3,10,JUNE,6,"12,13"
0410,4,10,JUNE,6,"11,12"
0513,5,13,JULY,7,"23,24"
0403,4,3,APRIL,4,"6,9"
0712,7,12,MAY,5,"2,3"
0106,1,6,SEPTEMBER,9,"20,21"
0813,8,13,SEPTEMBER,9,28
0402,4,2,SEPTEMBER,9,"27,28"
0916,9,16,NOVEMBER,11,"12,13"
0508,5,8,NOVEMBER,11,1
0910,9,10,JUNE,6,"26,27"
0407,4,7,OCTOBER,10,"15,16"
0513,5,13,AUGUST,8,"28,29"
0201,2,1,AUGUST,8,"1,20,21"
0809,8,9,APRIL,4,"24,25"
0505,5,5,APRIL,4,"12,13"
0611,6,11,JUNE,6,"8,11"
0303,3,3,MAY,5,"21,22"
0811,8,11,SEPTEMBER,9,"24,25"
0706,7,6,OCTOBER,10,"17,18"
0501,5,1,APRIL,4,"2,3"
0703,7,3,OCTOBER,10,"9,10"
0201,2,1,SEPTEMBER,9,"10,11"
0304,3,4,APRIL,4,"11,12"
0708,7,8,SEPTEMBER,9,"6,7"
0601,6,1,JULY,7,31
0914,9,14,MAY,5,"8,9"
0716,7,16,OCTOBER,10,1
0701,7,1,JULY,7,"2,3"
0310,3,10,OCTOBER,10,"24,25"
0715,7,15,NOVEMBER,11,"12,13"
0806,8,6,OCTOBER,10,"29,30"
0103,1,3,AUGUST,8,"8,14"
0705,7,5,OCTOBER,10,"15,16"
0711,7,11,OCTOBER,10,31
0314,3,14,MAY,5,"9,10"
0602,6,2,AUGUST,8,"2,3"
0704,7,4,OCTOBER,10,"11,12"
0912,9,12,NOVEMBER,11,1
0512,5,12,OCTOBER,10,"3,4"
0508,5,8,APRIL,4,"20,23"
0308,3,8,JUNE,6,"6,7"
0604,6,4,APRIL,4,"10,11"
0815,8,15,OCTOBER,10,"4,5"
0711,7,11,NOVEMBER,11,1
0313,3,13,AUGUST,8,"3,6"
0713,7,13,AUGUST,8,"6,7"
0808,8,8,JUNE,6,"8,11"
0907,9,7,AUGUST,8,"16,17"
0701,7,1,NOVEMBER,11,16
0403,4,3,OCTOBER,10,"1,2"
0101,1,1,AUGUST,8,"1,7"
0412,4,12,AUGUST,8,1
0603,6,3,AUGUST,8,"6,7"
0918,9,18,MAY,5,"18,21"
0103,1,3,JULY,7,"10,11"
0915,9,15,MAY,5,"10,11"
0702,7,2,AUGUST,8,"20,21"
0307,3,7,AUGUST,8,"29,30"
0801,8,1,OCTOBER,10,"15,16"
0804,8,4,SEPTEMBER,9,"4,5"
0804,8,4,APRIL,4,"10,11"
