ESTACION,TIEMPO,AIRETEMPERATURA,BULBOTEMPERATURA,HUMEDAD,INTECIDADLLUVIA,INTERVALOLLUVIA,LLUVIATOTAL,PRECICION,DIRECIONVIENTO,VELOCIDADVIENTO,VELOCIDADMAXIMA,BAROMETRICA,RADIACIONSOLAR,RUMBO,BATERIA,HORAMEDICION,ID
63rd Street Weather Station,1/01/2016 5:00:00 a. m.,-63,-73,75,0,0,67,0,280,52,88,9988,5,353,119,1/01/2016 5:00:00 a. m.,63rdStreetWeatherStation201601010500
Oak Street Weather Station,1/01/2016 5:00:00 a. m.,-58,-7,71,0,0,63,0,306,3,51,999,4,359,121,1/01/2016 5:00:00 a. m.,OakStreetWeatherStation201601010500
63rd Street Weather Station,1/01/2016 6:00:00 a. m.,-58,-68,76,0,0,67,0,271,71,126,9991,5,353,119,1/01/2016 6:00:00 a. m.,63rdStreetWeatherStation201601010600
Oak Street Weather Station,1/01/2016 6:00:00 a. m.,-52,-64,72,0,0,63,0,279,25,71,9994,4,359,121,1/01/2016 6:00:00 a. m.,OakStreetWeatherStation201601010600
63rd Street Weather Station,1/01/2016 7:00:00 a. m.,-51,-62,76,0,0,67,0,265,59,9,9993,5,353,119,1/01/2016 7:00:00 a. m.,63rdStreetWeatherStation201601010700
Oak Street Weather Station,1/01/2016 7:00:00 a. m.,-46,-59,72,0,0,63,0,294,14,53,9994,4,0,121,1/01/2016 7:00:00 a. m.,OakStreetWeatherStation201601010700
63rd Street Weather Station,1/01/2016 8:00:00 a. m.,-43,-55,74,0,0,67,0,269,7,102,999,19,353,119,1/01/2016 8:00:00 a. m.,63rdStreetWeatherStation201601010800
Oak Street Weather Station,1/01/2016 8:00:00 a. m.,-38,-52,71,0,0,63,0,339,19,63,9993,16,359,121,1/01/2016 8:00:00 a. m.,OakStreetWeatherStation201601010800
63rd Street Weather Station,1/01/2016 9:00:00 a. m.,-37,-49,74,0,0,67,0,282,55,88,9997,34,353,119,1/01/2016 9:00:00 a. m.,63rdStreetWeatherStation201601010900
Oak Street Weather Station,1/01/2016 9:00:00 a. m.,-33,-48,70,0,0,63,0,299,25,49,9998,38,359,121,1/01/2016 9:00:00 a. m.,OakStreetWeatherStation201601010900
63rd Street Weather Station,1/01/2016 10:00:00 a. m.,-33,-46,74,0,0,67,0,271,69,105,9996,74,353,118,1/01/2016 10:00:00 a. m.,63rdStreetWeatherStation201601011000
Oak Street Weather Station,1/01/2016 10:00:00 a. m.,-27,-42,70,0,0,63,0,302,16,43,1000,68,0,12,1/01/2016 10:00:00 a. m.,OakStreetWeatherStation201601011000
63rd Street Weather Station,1/01/2016 11:00:00 a. m.,-31,-43,74,0,0,67,0,272,78,107,9996,104,353,119,1/01/2016 11:00:00 a. m.,63rdStreetWeatherStation201601011100
Oak Street Weather Station,1/01/2016 11:00:00 a. m.,-24,-39,70,0,0,63,0,327,12,26,9998,92,359,121,1/01/2016 11:00:00 a. m.,OakStreetWeatherStation201601011100
63rd Street Weather Station,1/01/2016 12:00:00 p. m.,-27,-39,75,0,0,67,0,282,61,97,9988,171,353,118,1/01/2016 12:00:00 p. m.,63rdStreetWeatherStation201601011200
Oak Street Weather Station,1/01/2016 12:00:00 p. m.,-22,-38,70,0,0,63,0,313,12,51,9987,171,0,121,1/01/2016 12:00:00 p. m.,OakStreetWeatherStation201601011200
63rd Street Weather Station,1/01/2016 1:00:00 p. m.,-22,-36,73,0,0,67,0,269,81,137,9977,147,353,119,1/01/2016 1:00:00 p. m.,63rdStreetWeatherStation201601011300
Oak Street Weather Station,1/01/2016 1:00:00 p. m.,-19,-35,70,0,0,63,0,279,37,87,9977,171,0,121,1/01/2016 1:00:00 p. m.,OakStreetWeatherStation201601011300
63rd Street Weather Station,1/01/2016 2:00:00 p. m.,-19,-33,74,0,0,67,0,256,69,101,9973,165,353,119,1/01/2016 2:00:00 p. m.,63rdStreetWeatherStation201601011400
Oak Street Weather Station,1/01/2016 2:00:00 p. m.,-13,-31,70,0,0,63,0,301,19,45,9977,108,0,121,1/01/2016 2:00:00 p. m.,OakStreetWeatherStation201601011400
63rd Street Weather Station,1/01/2016 3:00:00 p. m.,-16,-29,75,0,0,67,0,250,57,9,9974,99,353,119,1/01/2016 3:00:00 p. m.,63rdStreetWeatherStation201601011500
Oak Street Weather Station,1/01/2016 3:00:00 p. m.,-11,-28,69,0,0,63,0,266,46,68,9974,28,0,121,1/01/2016 3:00:00 p. m.,OakStreetWeatherStation201601011500
63rd Street Weather Station,1/01/2016 4:00:00 p. m.,-15,-28,75,0,0,67,0,245,55,8,9974,37,353,119,1/01/2016 4:00:00 p. m.,63rdStreetWeatherStation201601011600
Oak Street Weather Station,1/01/2016 4:00:00 p. m.,-1,-25,73,0,0,63,0,278,38,85,9971,16,0,12,1/01/2016 4:00:00 p. m.,OakStreetWeatherStation201601011600
63rd Street Weather Station,1/01/2016 5:00:00 p. m.,-13,-26,76,0,0,67,0,242,5,84,9973,5,354,119,1/01/2016 5:00:00 p. m.,63rdStreetWeatherStation201601011700
Oak Street Weather Station,1/01/2016 5:00:00 p. m.,-6,-22,72,0,0,63,0,265,32,65,9973,3,0,12,1/01/2016 5:00:00 p. m.,OakStreetWeatherStation201601011700
63rd Street Weather Station,1/01/2016 6:00:00 p. m.,-1,-22,78,0,0,67,0,238,53,82,9968,5,353,119,1/01/2016 6:00:00 p. m.,63rdStreetWeatherStation201601011800
Oak Street Weather Station,1/01/2016 6:00:00 p. m.,-1,-17,72,0,0,63,0,272,46,89,9968,3,359,121,1/01/2016 6:00:00 p. m.,OakStreetWeatherStation201601011800
63rd Street Weather Station,1/01/2016 7:00:00 p. m.,-5,-18,77,0,0,67,0,247,48,71,9972,5,354,118,1/01/2016 7:00:00 p. m.,63rdStreetWeatherStation201601011900
Oak Street Weather Station,1/01/2016 7:00:00 p. m.,4,-13,70,0,0,63,0,269,38,64,9968,3,0,121,1/01/2016 7:00:00 p. m.,OakStreetWeatherStation201601011900
63rd Street Weather Station,1/01/2016 8:00:00 p. m.,-3,-16,77,0,0,67,0,241,39,58,9968,5,354,118,1/01/2016 8:00:00 p. m.,63rdStreetWeatherStation201601012000
Oak Street Weather Station,1/01/2016 8:00:00 p. m.,5,-13,70,0,0,63,0,286,22,62,9968,3,0,121,1/01/2016 8:00:00 p. m.,OakStreetWeatherStation201601012000
63rd Street Weather Station,1/01/2016 9:00:00 p. m.,-6,-18,78,0,0,67,0,233,34,52,9966,5,353,118,1/01/2016 9:00:00 p. m.,63rdStreetWeatherStation201601012100
63rd Street Weather Station,1/01/2016 10:00:00 p. m.,-7,-2,77,0,0,67,0,251,28,4,9966,5,353,119,1/01/2016 10:00:00 p. m.,63rdStreetWeatherStation201601012200
63rd Street Weather Station,1/01/2016 11:00:00 p. m.,-3,-19,72,0,0,67,0,272,4,61,9965,5,354,119,1/01/2016 11:00:00 p. m.,63rdStreetWeatherStation201601012300
Oak Street Weather Station,1/01/2016 11:00:00 p. m.,-1,-19,69,0,0,63,0,262,14,64,9968,3,0,121,1/01/2016 11:00:00 p. m.,OakStreetWeatherStation201601012300
63rd Street Weather Station,1/02/2016 12:00:00 a. m.,-9,-25,70,0,0,67,0,275,45,64,9963,5,353,119,1/02/2016 12:00:00 a. m.,63rdStreetWeatherStation201601022400
Oak Street Weather Station,1/02/2016 12:00:00 a. m.,-7,-26,66,0,0,63,0,12,1,3,9967,3,359,12,1/02/2016 12:00:00 a. m.,OakStreetWeatherStation201601022400
63rd Street Weather Station,1/02/2016 1:00:00 a. m.,-15,-3,71,0,0,67,0,276,39,47,9961,5,353,119,1/02/2016 1:00:00 a. m.,63rdStreetWeatherStation201601020100
Oak Street Weather Station,1/02/2016 1:00:00 a. m.,-12,-29,68,0,0,63,0,250,17,29,9963,3,0,121,1/02/2016 1:00:00 a. m.,OakStreetWeatherStation201601020100
63rd Street Weather Station,1/02/2016 2:00:00 a. m.,-2,-34,74,0,0,67,0,279,47,67,9966,5,353,118,1/02/2016 2:00:00 a. m.,63rdStreetWeatherStation201601020200
Oak Street Weather Station,1/02/2016 2:00:00 a. m.,-17,-33,69,0,0,63,0,317,18,41,997,3,0,121,1/02/2016 2:00:00 a. m.,OakStreetWeatherStation201601020200
63rd Street Weather Station,1/02/2016 3:00:00 a. m.,-25,-38,73,0,0,67,0,289,39,64,9965,5,353,119,1/02/2016 3:00:00 a. m.,63rdStreetWeatherStation201601020300
Oak Street Weather Station,1/02/2016 3:00:00 a. m.,-2,-36,69,0,0,63,0,330,19,34,9968,3,0,121,1/02/2016 3:00:00 a. m.,OakStreetWeatherStation201601020300
63rd Street Weather Station,1/02/2016 4:00:00 a. m.,-28,-41,74,0,0,67,0,288,31,49,9962,5,353,119,1/02/2016 4:00:00 a. m.,63rdStreetWeatherStation201601020400
Oak Street Weather Station,1/02/2016 4:00:00 a. m.,-22,-38,69,0,0,63,0,336,15,33,9966,4,0,121,1/02/2016 4:00:00 a. m.,OakStreetWeatherStation201601020400
63rd Street Weather Station,1/02/2016 5:00:00 a. m.,-31,-43,75,0,0,67,0,320,11,15,9965,5,353,118,1/02/2016 5:00:00 a. m.,63rdStreetWeatherStation201601020500
Oak Street Weather Station,1/02/2016 5:00:00 a. m.,-23,-38,69,0,0,63,0,282,15,32,9968,3,359,121,1/02/2016 5:00:00 a. m.,OakStreetWeatherStation201601020500
63rd Street Weather Station,1/02/2016 6:00:00 a. m.,-33,-44,76,0,0,67,0,272,34,57,9966,5,353,119,1/02/2016 6:00:00 a. m.,63rdStreetWeatherStation201601020600
Oak Street Weather Station,1/02/2016 6:00:00 a. m.,-27,-41,71,0,0,63,0,313,13,24,9972,4,0,12,1/02/2016 6:00:00 a. m.,OakStreetWeatherStation201601020600
63rd Street Weather Station,1/02/2016 7:00:00 a. m.,-42,-51,80,0,0,67,0,255,31,47,997,6,353,119,1/02/2016 7:00:00 a. m.,63rdStreetWeatherStation201601020700
Oak Street Weather Station,1/02/2016 7:00:00 a. m.,-32,-45,74,0,0,63,0,265,2,38,9974,4,359,121,1/02/2016 7:00:00 a. m.,OakStreetWeatherStation201601020700
63rd Street Weather Station,1/02/2016 8:00:00 a. m.,-46,-54,81,0,0,67,0,246,36,48,9969,46,353,119,1/02/2016 8:00:00 a. m.,63rdStreetWeatherStation201601020800
Oak Street Weather Station,1/02/2016 8:00:00 a. m.,-39,-5,75,0,0,63,0,293,14,41,9972,24,359,121,1/02/2016 8:00:00 a. m.,OakStreetWeatherStation201601020800
63rd Street Weather Station,1/02/2016 9:00:00 a. m.,-39,-49,78,0,0,67,0,251,38,47,9967,173,354,119,1/02/2016 9:00:00 a. m.,63rdStreetWeatherStation201601020900
Oak Street Weather Station,1/02/2016 9:00:00 a. m.,-35,-47,74,0,0,63,0,273,2,46,997,33,0,121,1/02/2016 9:00:00 a. m.,OakStreetWeatherStation201601020900
63rd Street Weather Station,1/02/2016 10:00:00 a. m.,-28,-42,74,0,0,67,0,258,52,69,997,321,354,119,1/02/2016 10:00:00 a. m.,63rdStreetWeatherStation201601021000
63rd Street Weather Station,1/02/2016 11:00:00 a. m.,-13,-3,69,0,0,67,0,253,6,89,9962,403,354,118,1/02/2016 11:00:00 a. m.,63rdStreetWeatherStation201601021100
Oak Street Weather Station,1/02/2016 11:00:00 a. m.,-8,-27,65,0,0,63,0,280,28,51,9964,394,0,121,1/02/2016 11:00:00 a. m.,OakStreetWeatherStation201601021100
63rd Street Weather Station,1/02/2016 12:00:00 p. m.,-6,-24,67,0,0,67,0,259,59,78,9953,434,353,119,1/02/2016 12:00:00 p. m.,63rdStreetWeatherStation201601021200
Oak Street Weather Station,1/02/2016 12:00:00 p. m.,-4,-24,65,0,0,63,0,271,27,76,9953,31,0,12,1/02/2016 12:00:00 p. m.,OakStreetWeatherStation201601021200
63rd Street Weather Station,1/02/2016 1:00:00 p. m.,3,-17,66,0,0,67,0,260,52,73,9945,410,353,119,1/02/2016 1:00:00 p. m.,63rdStreetWeatherStation201601021300
63rd Street Weather Station,1/02/2016 2:00:00 p. m.,8,-13,66,0,0,67,0,256,55,81,9934,335,353,119,1/02/2016 2:00:00 p. m.,63rdStreetWeatherStation201601021400
Oak Street Weather Station,1/02/2016 2:00:00 p. m.,12,-12,62,0,0,63,0,263,28,67,9932,25,0,121,1/02/2016 2:00:00 p. m.,OakStreetWeatherStation201601021400
63rd Street Weather Station,1/02/2016 3:00:00 p. m.,12,-9,65,0,0,67,0,244,62,102,9929,216,353,119,1/02/2016 3:00:00 p. m.,63rdStreetWeatherStation201601021500
Oak Street Weather Station,1/02/2016 3:00:00 p. m.,15,-8,63,0,0,63,0,288,3,9,9929,22,0,121,1/02/2016 3:00:00 p. m.,OakStreetWeatherStation201601021500
63rd Street Weather Station,1/02/2016 4:00:00 p. m.,12,-7,68,0,0,67,0,250,47,65,9925,74,354,119,1/02/2016 4:00:00 p. m.,63rdStreetWeatherStation201601021600
Oak Street Weather Station,1/02/2016 4:00:00 p. m.,15,-7,65,0,0,63,0,291,3,95,9922,14,0,121,1/02/2016 4:00:00 p. m.,OakStreetWeatherStation201601021600
63rd Street Weather Station,1/02/2016 5:00:00 p. m.,6,-1,73,0,0,67,0,247,6,93,9922,5,354,119,1/02/2016 5:00:00 p. m.,63rdStreetWeatherStation201601021700
Oak Street Weather Station,1/02/2016 5:00:00 p. m.,12,-7,69,0,0,63,0,266,38,75,9919,3,0,121,1/02/2016 5:00:00 p. m.,OakStreetWeatherStation201601021700
63rd Street Weather Station,1/02/2016 6:00:00 p. m.,2,-11,77,0,0,67,0,249,66,95,9915,5,353,119,1/02/2016 6:00:00 p. m.,63rdStreetWeatherStation201601021800
Oak Street Weather Station,1/02/2016 6:00:00 p. m.,11,-8,70,0,0,63,0,275,43,103,9911,3,359,121,1/02/2016 6:00:00 p. m.,OakStreetWeatherStation201601021800
63rd Street Weather Station,1/02/2016 7:00:00 p. m.,4,-1,75,0,0,67,0,248,74,106,9906,5,353,119,1/02/2016 7:00:00 p. m.,63rdStreetWeatherStation201601021900
63rd Street Weather Station,1/02/2016 8:00:00 p. m.,8,-8,73,0,0,67,0,256,78,115,9905,5,353,119,1/02/2016 8:00:00 p. m.,63rdStreetWeatherStation201601022000
63rd Street Weather Station,1/02/2016 9:00:00 p. m.,6,-11,72,0,0,67,0,262,9,113,9909,5,353,119,1/02/2016 9:00:00 p. m.,63rdStreetWeatherStation201601022100
63rd Street Weather Station,1/02/2016 10:00:00 p. m.,1,-17,69,0,0,67,0,275,59,91,991,5,353,119,1/02/2016 10:00:00 p. m.,63rdStreetWeatherStation201601022200
Oak Street Weather Station,1/02/2016 10:00:00 p. m.,-1,-21,66,0,0,63,0,299,23,44,9913,3,0,121,1/02/2016 10:00:00 p. m.,OakStreetWeatherStation201601022200
63rd Street Weather Station,1/02/2016 11:00:00 p. m.,-8,-25,69,0,0,67,0,278,55,88,9912,5,353,118,1/02/2016 11:00:00 p. m.,63rdStreetWeatherStation201601022300
Oak Street Weather Station,1/02/2016 11:00:00 p. m.,-8,-26,68,0,0,63,0,329,22,47,9915,3,359,121,1/02/2016 11:00:00 p. m.,OakStreetWeatherStation201601022300
63rd Street Weather Station,1/03/2016 1:00:00 a. m.,-22,-36,72,0,0,67,0,291,46,81,9912,5,353,118,1/03/2016 1:00:00 a. m.,63rdStreetWeatherStation201601030100
Oak Street Weather Station,1/03/2016 1:00:00 a. m.,-2,-36,70,0,0,63,0,310,21,43,9915,3,0,121,1/03/2016 1:00:00 a. m.,OakStreetWeatherStation201601030100
63rd Street Weather Station,1/03/2016 2:00:00 a. m.,-26,-4,74,0,0,67,0,282,3,55,9918,5,353,118,1/03/2016 2:00:00 a. m.,63rdStreetWeatherStation201601030200
Oak Street Weather Station,1/03/2016 2:00:00 a. m.,-23,-38,71,0,0,63,0,284,25,41,9923,4,359,12,1/03/2016 2:00:00 a. m.,OakStreetWeatherStation201601030200
63rd Street Weather Station,1/03/2016 3:00:00 a. m.,-29,-42,74,0,0,67,0,305,25,41,9922,5,353,119,1/03/2016 3:00:00 a. m.,63rdStreetWeatherStation201601030300
Oak Street Weather Station,1/03/2016 3:00:00 a. m.,-25,-41,70,0,0,63,0,318,16,44,9929,4,359,121,1/03/2016 3:00:00 a. m.,OakStreetWeatherStation201601030300
63rd Street Weather Station,1/03/2016 4:00:00 a. m.,-3,-44,72,0,0,67,0,321,32,6,9925,5,353,119,1/03/2016 4:00:00 a. m.,63rdStreetWeatherStation201601030400
Oak Street Weather Station,1/03/2016 4:00:00 a. m.,-26,-42,69,0,0,63,0,280,12,3,9933,4,359,121,1/03/2016 4:00:00 a. m.,OakStreetWeatherStation201601030400
63rd Street Weather Station,1/03/2016 5:00:00 a. m.,-31,-45,73,0,0,67,0,298,23,4,993,5,353,119,1/03/2016 5:00:00 a. m.,63rdStreetWeatherStation201601030500
Oak Street Weather Station,1/03/2016 5:00:00 a. m.,-26,-42,69,0,0,63,0,318,12,28,9937,3,0,121,1/03/2016 5:00:00 a. m.,OakStreetWeatherStation201601030500
63rd Street Weather Station,1/03/2016 6:00:00 a. m.,-31,-44,73,0,0,67,0,296,32,48,9938,5,353,119,1/03/2016 6:00:00 a. m.,63rdStreetWeatherStation201601030600
Oak Street Weather Station,1/03/2016 6:00:00 a. m.,-27,-42,69,0,0,63,0,307,14,29,9946,4,359,121,1/03/2016 6:00:00 a. m.,OakStreetWeatherStation201601030600
63rd Street Weather Station,1/03/2016 7:00:00 a. m.,-25,-39,73,0,0,67,0,331,33,67,9946,5,353,118,1/03/2016 7:00:00 a. m.,63rdStreetWeatherStation201601030700
Oak Street Weather Station,1/03/2016 7:00:00 a. m.,-21,-37,69,0,0,63,0,313,18,57,9956,4,0,12,1/03/2016 7:00:00 a. m.,OakStreetWeatherStation201601030700
63rd Street Weather Station,1/03/2016 8:00:00 a. m.,-16,-31,73,0,0,67,0,329,32,58,9955,16,353,118,1/03/2016 8:00:00 a. m.,63rdStreetWeatherStation201601030800
Oak Street Weather Station,1/03/2016 8:00:00 a. m.,-14,-31,69,0,0,63,0,314,18,4,9963,11,0,12,1/03/2016 8:00:00 a. m.,OakStreetWeatherStation201601030800
63rd Street Weather Station,1/03/2016 9:00:00 a. m.,-12,-26,74,0,0,67,0,328,32,54,9963,35,353,118,1/03/2016 9:00:00 a. m.,63rdStreetWeatherStation201601030900
Oak Street Weather Station,1/03/2016 9:00:00 a. m.,-8,-24,70,0,0,63,0,356,23,45,9972,19,359,12,1/03/2016 9:00:00 a. m.,OakStreetWeatherStation201601030900
63rd Street Weather Station,1/03/2016 10:00:00 a. m.,4,-1,76,0,0,67,0,350,52,87,9971,55,354,119,1/03/2016 10:00:00 a. m.,63rdStreetWeatherStation201601031000
Oak Street Weather Station,1/03/2016 10:00:00 a. m.,2,-14,72,0,0,63,0,351,52,83,998,42,0,12,1/03/2016 10:00:00 a. m.,OakStreetWeatherStation201601031000
63rd Street Weather Station,1/03/2016 11:00:00 a. m.,7,-9,74,0,0,67,0,349,53,82,9974,61,354,119,1/03/2016 11:00:00 a. m.,63rdStreetWeatherStation201601031100
63rd Street Weather Station,1/03/2016 12:00:00 p. m.,-3,-19,72,0,0,67,0,323,37,63,9978,81,354,119,1/03/2016 12:00:00 p. m.,63rdStreetWeatherStation201601031200
Oak Street Weather Station,1/03/2016 12:00:00 p. m.,0,-2,66,0,0,63,0,336,29,44,9984,65,359,121,1/03/2016 12:00:00 p. m.,OakStreetWeatherStation201601031200
63rd Street Weather Station,1/03/2016 1:00:00 p. m.,-4,-22,68,0,0,67,0,337,35,63,9982,71,354,119,1/03/2016 1:00:00 p. m.,63rdStreetWeatherStation201601031300
Oak Street Weather Station,1/03/2016 1:00:00 p. m.,-4,-24,64,0,0,63,0,328,21,35,9989,78,0,121,1/03/2016 1:00:00 p. m.,OakStreetWeatherStation201601031300
63rd Street Weather Station,1/03/2016 2:00:00 p. m.,-6,-26,65,0,0,67,0,329,29,57,9984,84,353,119,1/03/2016 2:00:00 p. m.,63rdStreetWeatherStation201601031400
Oak Street Weather Station,1/03/2016 2:00:00 p. m.,-5,-26,63,0,0,63,0,6,28,46,9992,88,359,121,1/03/2016 2:00:00 p. m.,OakStreetWeatherStation201601031400
63rd Street Weather Station,1/03/2016 3:00:00 p. m.,-9,-28,65,0,0,67,0,318,45,72,9989,58,353,118,1/03/2016 3:00:00 p. m.,63rdStreetWeatherStation201601031500
Oak Street Weather Station,1/03/2016 3:00:00 p. m.,-4,-26,62,0,0,63,0,333,19,34,9996,51,0,12,1/03/2016 3:00:00 p. m.,OakStreetWeatherStation201601031500
63rd Street Weather Station,1/03/2016 4:00:00 p. m.,-1,-28,66,0,0,67,0,336,27,51,9998,10,353,119,1/03/2016 4:00:00 p. m.,63rdStreetWeatherStation201601031600
63rd Street Weather Station,1/03/2016 5:00:00 p. m.,-9,-28,66,0,0,67,0,334,26,5,10002,5,353,118,1/03/2016 5:00:00 p. m.,63rdStreetWeatherStation201601031700
63rd Street Weather Station,1/03/2016 6:00:00 p. m.,-9,-27,69,0,0,67,70,317,37,62,10008,5,353,119,1/03/2016 6:00:00 p. m.,63rdStreetWeatherStation201601031800
63rd Street Weather Station,1/03/2016 7:00:00 p. m.,-13,-33,63,0,0,67,0,343,67,111,10008,5,353,119,1/03/2016 7:00:00 p. m.,63rdStreetWeatherStation201601031900
Oak Street Weather Station,1/03/2016 7:00:00 p. m.,-12,-32,62,0,0,63,0,305,25,53,10018,3,0,121,1/03/2016 7:00:00 p. m.,OakStreetWeatherStation201601031900
63rd Street Weather Station,1/03/2016 8:00:00 p. m.,-17,-34,68,0,0,67,70,330,29,68,10016,5,353,119,1/03/2016 8:00:00 p. m.,63rdStreetWeatherStation201601032000
Oak Street Weather Station,1/03/2016 8:00:00 p. m.,-14,-35,61,0,0,63,0,354,28,34,10022,3,0,121,1/03/2016 8:00:00 p. m.,OakStreetWeatherStation201601032000
63rd Street Weather Station,1/03/2016 9:00:00 p. m.,-16,-36,61,0,0,67,0,330,53,84,10014,5,353,119,1/03/2016 9:00:00 p. m.,63rdStreetWeatherStation201601032100
Oak Street Weather Station,1/03/2016 9:00:00 p. m.,-12,-34,60,0,0,63,0,353,18,32,10022,3,359,121,1/03/2016 9:00:00 p. m.,OakStreetWeatherStation201601032100
63rd Street Weather Station,1/03/2016 10:00:00 p. m.,-16,-36,62,0,0,67,0,315,32,67,10016,5,353,118,1/03/2016 10:00:00 p. m.,63rdStreetWeatherStation201601032200
Oak Street Weather Station,1/03/2016 10:00:00 p. m.,-14,-34,62,0,0,63,0,313,1,35,10026,3,0,12,1/03/2016 10:00:00 p. m.,OakStreetWeatherStation201601032200
63rd Street Weather Station,1/03/2016 11:00:00 p. m.,-16,-33,68,0,0,67,0,319,35,63,10019,5,353,118,1/03/2016 11:00:00 p. m.,63rdStreetWeatherStation201601032300
Oak Street Weather Station,1/03/2016 11:00:00 p. m.,-14,-32,66,0,0,63,0,315,15,26,10025,3,0,121,1/03/2016 11:00:00 p. m.,OakStreetWeatherStation201601032300
63rd Street Weather Station,1/04/2016 12:00:00 a. m.,-16,-33,68,0,0,67,0,336,37,63,10017,5,354,119,1/04/2016 12:00:00 a. m.,63rdStreetWeatherStation201601042400
Oak Street Weather Station,1/04/2016 12:00:00 a. m.,-14,-33,64,0,0,63,0,321,13,29,10023,3,0,121,1/04/2016 12:00:00 a. m.,OakStreetWeatherStation201601042400
63rd Street Weather Station,1/04/2016 1:00:00 a. m.,-19,-35,68,0,0,67,0,327,33,5,10018,5,354,118,1/04/2016 1:00:00 a. m.,63rdStreetWeatherStation201601040100
Oak Street Weather Station,1/04/2016 1:00:00 a. m.,-18,-36,65,0,0,63,0,328,17,36,10025,3,0,121,1/04/2016 1:00:00 a. m.,OakStreetWeatherStation201601040100
63rd Street Weather Station,1/04/2016 2:00:00 a. m.,-23,-4,69,0,0,67,0,314,19,4,10022,5,353,119,1/04/2016 2:00:00 a. m.,63rdStreetWeatherStation201601040200
Oak Street Weather Station,1/04/2016 2:00:00 a. m.,-21,-39,66,0,0,63,0,312,2,39,1003,4,0,121,1/04/2016 2:00:00 a. m.,OakStreetWeatherStation201601040200
63rd Street Weather Station,1/04/2016 3:00:00 a. m.,-26,-41,70,0,0,67,0,329,4,66,10028,5,354,119,1/04/2016 3:00:00 a. m.,63rdStreetWeatherStation201601040300
Oak Street Weather Station,1/04/2016 3:00:00 a. m.,-25,-41,68,0,0,63,0,288,1,24,10033,4,359,121,1/04/2016 3:00:00 a. m.,OakStreetWeatherStation201601040300
63rd Street Weather Station,1/04/2016 4:00:00 a. m.,-27,-41,71,0,0,67,0,324,35,71,10029,5,353,118,1/04/2016 4:00:00 a. m.,63rdStreetWeatherStation201601040400
Oak Street Weather Station,1/04/2016 4:00:00 a. m.,-24,-4,68,0,0,63,0,0,5,8,10037,3,0,12,1/04/2016 4:00:00 a. m.,OakStreetWeatherStation201601040400
63rd Street Weather Station,1/04/2016 5:00:00 a. m.,-21,-36,71,0,0,67,0,335,42,78,10034,5,353,118,1/04/2016 5:00:00 a. m.,63rdStreetWeatherStation201601040500
Oak Street Weather Station,1/04/2016 5:00:00 a. m.,-19,-35,68,0,0,63,0,335,18,4,10043,3,359,12,1/04/2016 5:00:00 a. m.,OakStreetWeatherStation201601040500
63rd Street Weather Station,1/04/2016 6:00:00 a. m.,-21,-35,72,0,0,67,0,333,4,67,10043,5,353,119,1/04/2016 6:00:00 a. m.,63rdStreetWeatherStation201601040600
